Rank	Kanji	Occurrences	Percentage	Cumulative%	Heisig Index	Heisig Keyword
1	年	2082013	1.96%	1.96%	1036	year
2	日	1079113	1.02%	2.98%	12	day
3	大	969436	0.91%	3.89%	107	large
4	本	783536	0.74%	4.63%	211	book
5	人	773590	0.73%	5.36%	951	person
6	月	742459	0.70%	6.06%	13	month
7	一	692893	0.65%	6.72%	1	one
8	国	687434	0.65%	7.36%	581	country
9	中	666081	0.63%	7.99%	39	in
10	学	657851	0.62%	8.61%	324	study
11	行	622943	0.59%	9.20%	873	going
12	後	580617	0.55%	9.75%	1379	behind
13	出	567934	0.54%	10.28%	767	exit
14	時	561241	0.53%	10.81%	159	time
15	地	541552	0.51%	11.32%	515	ground
16	用	526888	0.50%	11.82%	1181	utilize
17	作	513730	0.48%	12.30%	1142	make
18	上	513089	0.48%	12.79%	49	above
19	的	506009	0.48%	13.26%	69	bull's eye
20	部	502759	0.47%	13.74%	1845	section
21	合	491241	0.46%	14.20%	253	fit
22	場	473580	0.45%	14.65%	545	location
23	発	466934	0.44%	15.09%	1705	discharge
24	代	463817	0.44%	15.53%	1005	substitute
25	会	457519	0.43%	15.96%	752	meeting
26	名	449314	0.42%	16.38%	112	name
27	生	443976	0.42%	16.80%	1555	life
28	戦	434413	0.41%	17.21%	1929	war
29	事	422388	0.40%	17.61%	1156	matter
30	者	406980	0.38%	17.99%	1256	someone
31	同	404985	0.38%	18.37%	180	same
32	市	400149	0.38%	18.75%	412	market
33	間	391518	0.37%	19.12%	1620	interval
34	分	389640	0.37%	19.49%	781	part
35	高	372558	0.35%	19.84%	307	tall
36	現	370215	0.35%	20.19%	259	present
37	定	365311	0.34%	20.53%	382	determine
38	成	352003	0.33%	20.86%	361	turn into
39	道	350176	0.33%	21.19%	277	road-way
40	動	350041	0.33%	21.52%	1676	move
41	在	349911	0.33%	21.85%	685	exist
42	子	349098	0.33%	22.18%	95	child
43	長	344769	0.33%	22.51%	1920	long
44	多	336840	0.32%	22.82%	108	many
45	東	335545	0.32%	23.14%	504	east
46	自	335479	0.32%	23.46%	36	oneself
47	入	333290	0.31%	23.77%	779	enter
48	手	328641	0.31%	24.08%	637	hand
49	方	328612	0.31%	24.39%	490	direction
50	車	326860	0.31%	24.70%	286	car
51	主	325539	0.31%	25.01%	266	lord
52	内	324025	0.31%	25.31%	1019	inside
53	前	322680	0.30%	25.62%	290	in front
